name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (M_sun),radius (AU)
Earth,2457023.5,-0.1711651654976284,0.9682993413207979,-2.976339460220266e-05,-6.288241279960578,-1.1191683070551257,0.0002462099060188939,3.002513826043238e-06,4.2586898395721926e-05
Earth,2457388.5,-0.1667607809992801,0.9690699370346685,-3.426620925967771e-05,-6.294972532040642,-1.086995008786221,-0.0001517388680567055,3.002513826043238e-06,4.2586898395721926e-05
Earth,2457754.5,-0.1796136509111975,0.9667949206859814,-3.668681017942158e-05,-6.28244011314464,-1.1728857587488095,0.0002895605842809697,3.002513826043238e-06,4.2586898395721926e-05
Earth,2458119.5,-0.1752200593182891,0.9675633322693306,-3.79969717182827e-05,-6.2827561166579775,-1.143335545068008,-9.272325704103487e-05,3.002513826043238e-06,4.2586898395721926e-05
Earth,2458484.5,-0.1707556589129549,0.9683716593288243,-4.626573264249524e-05,-6.292560847333805,-1.113027217612137,0.00012191527797030233,3.002513826043238e-06,4.2586898395721926e-05
Earth,2458849.5,-0.1663457602264735,0.9691203923795578,-4.12553307140163e-05,-6.29661564206539,-1.0890004999642033,0.00015539807916644115,3.002513826043238e-06,4.2586898395721926e-05
Earth,2459215.5,-0.1791160211966743,0.9668129275452991,-4.685077670480967e-05,-6.279035029309719,-1.1669755224843412,-9.692866642188112e-05,3.002513826043238e-06,4.2586898395721926e-05
Earth,2459580.5,-0.1746535618669703,0.9677212569103888,-4.558207913061104e-05,-6.288870710386125,-1.139317370754199,0.00032268766884187413,3.002513826043238e-06,4.2586898395721926e-05
Earth,2459945.5,-0.1702559696974332,0.9684854756037363,-4.886027562998765e-05,-6.289768083552112,-1.1138843910689722,-0.00013479386549007224,3.002513826043238e-06,4.2586898395721926e-05
Earth,2460310.5,-0.1658512460341716,0.9692307824650869,-5.491524466498898e-05,-6.295042630208524,-1.0813826024851376,0.00024981166930539703,3.002513826043238e-06,4.2586898395721926e-05
Earth,2460676.5,-0.1786834409731047,0.9669827953774551,-5.109423915082682e-05,-6.284030766954756,-1.1664379973944576,1.9932328279866845e-06,3.002513826043238e-06,4.2586898395721926e-05
Mars,2451544.5,1.390361066039004,-0.02100972225898467,-0.0346180144092705,0.2731803864064453,5.546795591649203,0.10948486018759859,3.2262443438914033e-07,2.266042780748663e-05
Mars,2451910.5,-1.647341536017414,-0.05752243062899393,0.03928463874623937,0.3700853453043346,-4.671932683873901,-0.10695946979492119,3.2262443438914033e-07,2.266042780748663e-05
Mars,2452275.5,1.279436972082798,0.6273775480325081,-0.01830158300610101,-2.053828510493327,5.024994595881076,0.1557303779268279,3.2262443438914033e-07,2.266042780748663e-05
Mars,2452640.5,-1.503694756915682,-0.5925889395987203,0.0245304007775542,2.065582681800618,-4.318345865819104,-0.1412184831345012,3.2262443438914033e-07,2.266042780748663e-05
Mars,2453005.5,0.9289922376649383,1.144896734528218,0.001165187582428489,-3.7738731080180616,3.656570431286631,0.16932751083289596,3.2262443438914033e-07,2.266042780748663e-05
Mars,2453371.5,-1.156778111296234,-1.060258467891456,0.006202429125529438,3.645353949943497,-3.330632844732561,-0.15934190585343092,3.2262443438914033e-07,2.266042780748663e-05
Mars,2453736.5,0.4083171049329258,1.475673847761194,0.02088903842822836,-4.732537410822358,1.7977803448664604,0.1539294226275777,3.2262443438914033e-07,2.266042780748663e-05
Mars,2454101.5,-0.6538075028310104,-1.366082077982376,-0.01256066647055583,4.803306388592984,-1.7684501327066062,-0.15504041734795992,3.2262443438914033e-07,2.266042780748663e-05
Mars,2454466.5,-0.1651689173783846,1.574997900073288,0.03705332192799764,-4.88983987423218,-0.0994072582753862,0.11801581072318604,3.2262443438914033e-07,2.266042780748663e-05
Mars,2454832.5,-0.03641250548557586,-1.457507441982587,-0.02964277631436093,5.30288489296749,0.31178397072279246,-0.12369892995228039,3.2262443438914033e-07,2.266042780748663e-05
Mars,2455197.5,-0.7296712783321331,1.454285821314244,0.04838987851259755,-4.374702797725677,-1.858027622771148,0.06849150784931853,3.2262443438914033e-07,2.266042780748663e-05
Mars,2455562.5,0.5722309483903077,-1.290986269965376,-0.04110307100680766,4.865469742177792,2.509921554401165,-0.06687890820519198,3.2262443438914033e-07,2.266042780748663e-05
Mars,2455927.5,-1.189483379474983,1.150321937659578,0.05330942349367238,-3.3600382886284215,-3.238679943539384,0.014642110211472869,3.2262443438914033e-07,2.266042780748663e-05
Mars,2456293.5,1.08006422821631,-0.866514427448075,-0.04467342525277128,3.3929472882104292,4.423483072290047,0.009373654381102088,3.2262443438914033e-07,2.266042780748663e-05
Mars,2456658.5,-1.51243876000466,0.6968154221281027,0.05172406682028827,-1.9471239710012467,-4.205684900282505,-0.040325726216531216,3.2262443438914033e-07,2.266042780748663e-05
Mars,2457023.5,1.35584976878128,-0.2749620295534162,-0.03903977531394885,1.212200841264413,5.44630728614678,0.0843639861550288,3.2262443438914033e-07,2.266042780748663e-05
Mars,2457388.5,-1.64840192856404,0.1700187227875687,0.04401876360235481,-0.3337173177863465,-4.647707083622444,-0.0892027447064549,3.2262443438914033e-07,2.266042780748663e-05
Mars,2457754.5,1.354702870189082,0.3868749023501845,-0.02514009742148584,-1.2078925848141335,5.352081739961237,0.14180049518371782,3.2262443438914033e-07,2.266042780748663e-05
Mars,2458119.5,-1.583672712364063,-0.3890283220620598,0.03071411289287227,1.4101779244741348,-4.527004590732506,-0.12947101838930822,3.2262443438914033e-07,2.266042780748663e-05
Mars,2458484.5,1.090214036149215,0.9612816784217787,-0.006608744866360567,-3.1861773631130106,4.269878442619022,0.16765156636495504,3.2262443438914033e-07,2.266042780748663e-05
Mars,2458849.5,-1.320107605296628,-0.8857574639930432,0.01382907541246423,3.0391921928136587,-3.8069203001557956,-0.15434068863154948,3.2262443438914033e-07,2.266042780748663e-05
Mars,2459215.5,0.6208753866159998,1.37567394095375,0.01359788370955226,-4.465080596287086,2.5370974083822038,0.16270112034578238,3.2262443438914033e-07,2.266042780748663e-05
Mars,2459580.5,-0.8667737365582333,-1.268824849100116,-0.005329796658701608,4.412168420787201,-2.444992826675869,-0.15947141336299225,3.2262443438914033e-07,2.266042780748663e-05
Mars,2459945.5,0.06087796500167329,1.562753194530568,0.03125918232294385,-4.9137141609690556,0.6331812640087982,0.13380089578005716,3.2262443438914033e-07,2.266042780748663e-05
Mars,2460310.5,-0.2933582835667315,-1.451123103951722,-0.02321561977006904,5.202419198895989,-0.5742383974160205,-0.13964477059011396,3.2262443438914033e-07,2.266042780748663e-05
Mars,2460676.5,-0.521685866568138,1.525234576802456,0.04475559803760917,-4.642997698467515,-1.2195111589297836,0.0883097131204145,3.2262443438914033e-07,2.266042780748663e-05
Jupiter,2451544.5,4.003460488693537,2.935353187887882,-0.1018230443988181,-1.6669099780122552,2.3548669098567485,0.027565452812468257,0.0009542483660130719,0.0004673128342245989
Jupiter,2451910.5,1.796758530427861,4.71492983919251,-0.0597998422233255,-2.613250121356665,1.11302300067537,0.05387663781758093,0.0009542483660130719,0.0004673128342245989
Jupiter,2452275.5,-0.9501230814410564,5.082865856063624,0.0001546224279638976,-2.7466846297624388,-0.3767664072469975,0.06302137565411295,0.0009542483660130719,0.0004673128342245989
Jupiter,2452640.5,-3.441577091981122,4.032668646963315,0.06027077097594316,-2.132864993860067,-1.660965914576352,0.054620946217253726,0.0009542483660130719,0.0004673128342245989
Jupiter,2453005.5,-5.046195599496702,1.931436141009945,0.1049014885037009,-1.0206869336140147,-2.446408441312562,0.03298611986321913,0.0009542483660130719,0.0004673128342245989
Jupiter,2453371.5,-5.412959543870101,-0.6553619764819513,0.123847469328713,0.2971555006855881,-2.6087825990002664,0.004173023575437845,0.0009542483660130719,0.0004673128342245989
Jupiter,2453736.5,-4.482848374234359,-3.079833180747829,0.1130990965689406,1.5273572791917758,-2.1440388382731963,-0.025293250257640374,0.0009542483660130719,0.0004673128342245989
Jupiter,2454101.5,-2.474679596919397,-4.760523943437301,0.07513889892273816,2.4134970522322416,-1.142667737573317,-0.04926743698316157,0.0009542483660130719,0.0004673128342245989
Jupiter,2454466.5,0.1481801883681291,-5.245561314727159,0.01846001978031499,2.7236218238719445,0.20824938628644668,-0.0618062978746322,0.0009542483660130719,0.0004673128342245989
