frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
1,50,0,25,25,25,25,62.0354,20.9586,49.0949,2
1,75,25,0,25,25,25,98.8916,28.158,21.9533,3
1,75,0,25,25,25,25,0,0,0,0
1,50,25,25,25,25,25,71.9305,25.7435,40.2312,5
1,75,25,25,25,25,25,83.8834,49.9958,27.1493,5
1,0,50,0,25,25,25,8.23244,68.208,18.1687,9
1,25,50,0,25,25,25,0,0,0,0
1,0,75,0,25,25,25,20.421,83.8581,14.3843,9
1,0,50,25,25,25,25,21.8635,70.2769,30.5298,7
1,25,75,0,25,25,25,0,0,0,0
1,25,50,25,25,25,25,0,0,0,0
1,0,75,25,25,25,25,13.2326,91.9258,38.3035,8
1,25,75,25,25,25,25,0,0,0,0
1,0,0,50,25,25,25,0,0,0,0
1,25,0,50,25,25,25,0,0,0,0
1,0,25,50,25,25,25,0,0,0,0
1,0,0,75,25,25,25,18.1638,22.9177,95.9328,1
1,25,25,50,25,25,25,0,0,0,0
1,25,0,75,25,25,25,42.9408,4.00926,76.137,1
1,0,25,75,25,25,25,14.0874,44.8922,82.0797,1
1,25,25,75,25,25,25,33.1469,29.8984,81.0417,2
1,50,50,0,25,25,25,69.1276,57.9613,21.972,3
1,75,50,0,25,25,25,0,0,0,0
1,50,75,0,25,25,25,0,0,0,0
1,50,50,25,25,25,25,58.9396,67.9928,36.1199,7
1,75,75,0,25,25,25,86.0273,80.1171,0.937372,5
1,75,50,25,25,25,25,90.6379,62.2935,32.1818,7
1,50,75,25,25,25,25,0,0,0,0
1,75,75,25,25,25,25,93.8583,85.9798,26.1752,4
1,50,0,50,25,25,25,0,0,0,0
1,75,0,50,25,25,25,96.9334,1.11834,67.0158,2
1,50,25,50,25,25,25,0,0,0,0
1,50,0,75,25,25,25,74.1579,6.84744,75.0519,3
1,75,25,50,25,25,25,0,0,0,0
1,75,0,75,25,25,25,75.8912,8.07434,87.0928,2
1,50,25,75,25,25,25,61.8331,30.2735,81.7713,3
1,75,25,75,25,25,25,0,0,0,0
1,0,50,50,25,25,25,0,0,0,0
1,25,50,50,25,25,25,0,0,0,0
1,0,75,50,25,25,25,0,0,0,0
1,0,50,75,25,25,25,23.8336,58.0455,82.1139,2
1,25,75,50,25,25,25,32.1145,99.0196,53.9872,3
1,25,50,75,25,25,25,0,0,0,0
1,0,75,75,25,25,25,24.0435,89.9599,98.1133,2
1,25,75,75,25,25,25,30.1786,80.9623,95.8188,1
1,50,50,50,25,25,25,60.0128,54.7966,50.1597,1
1,75,50,50,25,25,25,96.2252,69.8742,61.7902,3
1,50,75,50,25,25,25,0,0,0,0
1,50,50,75,25,25,25,0,0,0,0
1,75,75,50,25,25,25,78.9213,99.177,51.9215,2
1,75,50,75,25,25,25,0,0,0,0
1,50,75,75,25,25,25,61.4709,92.0772,88.9444,2
1,75,75,75,25,25,25,76.8236,86.1261,83.0781,3
1,0,0,0,12.5,12.5,12.5,4.85815,9.97945,11.1967,1
1,12.5,0,0,12.5,12.5,12.5,12.8359,1.22731,5.94035,5
1,0,12.5,0,12.5,12.5,12.5,0,0,0,0
1,0,0,12.5,12.5,12.5,12.5,0,0,0,0
1,12.5,12.5,0,12.5,12.5,12.5,0,0,0,0
1,12.5,0,12.5,12.5,12.5,12.5,0,0,0,0
1,0,12.5,12.5,12.5,12.5,12.5,0,0,0,0
1,12.5,12.5,12.5,12.5,12.5,12.5,0,0,0,0
1,25,0,0,12.5,12.5,12.5,0,0,0,0
1,37.5,0,0,12.5,12.5,12.5,0,0,0,0
1,25,12.5,0,12.5,12.5,12.5,27.9032,18.2059,3.91759,2
1,25,0,12.5,12.5,12.5,12.5,0,0,0,0
1,37.5,12.5,0,12.5,12.5,12.5,0,0,0,0
1,37.5,0,12.5,12.5,12.5,12.5,39.0587,4.06578,20.9847,4
1,25,12.5,12.5,12.5,12.5,12.5,0,0,0,0
1,37.5,12.5,12.5,12.5,12.5,12.5,0,0,0,0
1,25,0,25,12.5,12.5,12.5,0,0,0,0
1,37.5,0,25,12.5,12.5,12.5,45.2514,6.63113,35.9254,4
1,25,12.5,25,12.5,12.5,12.5,0,0,0,0
1,25,0,37.5,12.5,12.5,12.5,0,0,0,0
1,37.5,12.5,25,12.5,12.5,12.5,0,0,0,0
1,37.5,0,37.5,12.5,12.5,12.5,0,0,0,0
1,25,12.5,37.5,12.5,12.5,12.5,0,0,0,0
1,37.5,12.5,37.5,12.5,12.5,12.5,0,0,0,0
1,50,25,0,12.5,12.5,12.5,0,0,0,0
1,62.5,25,0,12.5,12.5,12.5,66.9284,27.1904,8.91898,1
1,50,37.5,0,12.5,12.5,12.5,0,0,0,0
1,50,25,12.5,12.5,12.5,12.5,0,0,0,0
1,62.5,37.5,0,12.5,12.5,12.5,0,0,0,0
1,62.5,25,12.5,12.5,12.5,12.5,0,0,0,0
1,50,37.5,12.5,12.5,12.5,12.5,0,0,0,0
1,62.5,37.5,12.5,12.5,12.5,12.5,70.0864,42.8853,24.0779,1
1,0,50,0,12.5,12.5,12.5,0,0,0,0
1,12.5,50,0,12.5,12.5,12.5,0,0,0,0
1,0,62.5,0,12.5,12.5,12.5,0,0,0,0
1,0,50,12.5,12.5,12.5,12.5,0,0,0,0
1,12.5,62.5,0,12.5,12.5,12.5,0,0,0,0
1,12.5,50,12.5,12.5,12.5,12.5,0,0,0,0
1,0,62.5,12.5,12.5,12.5,12.5,4.2299,66.8674,20.8601,5
1,12.5,62.5,12.5,12.5,12.5,12.5,13.2356,69.8837,14.8045,4
1,0,75,0,12.5,12.5,12.5,0,0,0,0
1,12.5,75,0,12.5,12.5,12.5,19.1256,82.807,6.05117,5
1,0,87.5,0,12.5,12.5,12.5,0,0,0,0
1,0,75,12.5,12.5,12.5,12.5,0,0,0,0
