frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
1,-0.676237,0.388832,-0.253438,0.352249,0.393664,0.254635,0,0,0,0
1,-0.323988,0.782496,-0.508072,0.352249,0.393664,0.254635,0,0,0,0
1,-0.323988,0.388832,-0.253438,0.352249,0.393664,0.254635,0,0,0,0
1,-0.676237,0.782496,-0.253438,0.352249,0.393664,0.254635,0,0,0,0
1,-0.323988,0.782496,-0.253438,0.352249,0.393664,0.254635,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-0.323988,0.782496,-0.253438,0.176124,0.196832,0.127317,0,0,0,0
1,-0.147864,0.782496,-0.253438,0.176124,0.196832,0.127317,0,0,0,0
1,-0.323988,0.979327,-0.253438,0.176124,0.196832,0.127317,0,0,0,0
1,-0.323988,0.782496,-0.12612,0.176124,0.196832,0.127317,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-0.147864,0.979327,-0.253438,0.176124,0.196832,0.127317,0,0,0,0
1,-0.147864,0.782496,-0.12612,0.176124,0.196832,0.127317,0,0,0,0
1,-0.323988,0.979327,-0.12612,0.176124,0.196832,0.127317,0,0,0,0
1,-0.147864,0.979327,-0.12612,0.176124,0.196832,0.127317,0,0,0,0
1,-0.323988,0.782496,-0.12612,0.0880622,0.0984159,0.0636587,0,0,0,0
1,-0.235926,0.782496,-0.12612,0.0880622,0.0984159,0.0636587,0,0,0,0
1,-0.323988,0.880912,-0.12612,0.0880622,0.0984159,0.0636587,0,0,0,0
1,-0.323988,0.782496,-0.0624616,0.0880622,0.0984159,0.0636587,0,0,0,0
1,-0.235926,0.880912,-0.12612,0.0880622,0.0984159,0.0636587,0,0,0,0
1,-0.235926,0.782496,-0.0624616,0.0880622,0.0984159,0.0636587,0,0,0,0
1,-0.323988,0.880912,-0.0624616,0.0880622,0.0984159,0.0636587,0,0,0,0
1,-0.235926,0.880912,-0.0624616,0.0880622,0.0984159,0.0636587,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-0.235926,0.880912,-0.0624616,0.0440311,0.049208,0.0318293,0,0,0,0
1,-0.191895,0.880912,-0.0624616,0.0440311,0.049208,0.0318293,0,0,0,0
1,-0.235926,0.930119,-0.0624616,0.0440311,0.049208,0.0318293,0,0,0,0
1,-0.235926,0.880912,-0.0306322,0.0440311,0.049208,0.0318293,0,0,0,0
1,-0.191895,0.930119,-0.0624616,0.0440311,0.049208,0.0318293,0,0,0,0
1,-0.191895,0.880912,-0.0306322,0.0440311,0.049208,0.0318293,0,0,0,0
1,-0.235926,0.930119,-0.0306322,0.0440311,0.049208,0.0318293,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-0.191895,0.930119,-0.0306322,0.0440311,0.049208,0.0318293,0,0,0,0
1,-0.235926,0.930119,-0.0306322,0.0220156,0.024604,0.0159147,0,0,0,0
1,-0.21391,0.930119,-0.0306322,0.0220156,0.024604,0.0159147,0,0,0,0
1,-0.235926,0.954723,-0.0306322,0.0220156,0.024604,0.0159147,0,0,0,0
1,-0.235926,0.930119,-0.0147176,0.0220156,0.024604,0.0159147,0,0,0,0
1,-0.21391,0.954723,-0.0306322,0.0220156,0.024604,0.0159147,0,0,0,0
1,-0.21391,0.930119,-0.0147176,0.0220156,0.024604,0.0159147,0,0,0,0
1,-0.235926,0.954723,-0.0147176,0.0220156,0.024604,0.0159147,0,0,0,0
1,-0.21391,0.954723,-0.0147176,0.0220156,0.024604,0.0159147,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-0.21391,0.954723,-0.0147176,0.0110078,0.012302,0.00795733,0,0,0,0
1,-0.202902,0.954723,-0.0147176,0.0110078,0.012302,0.00795733,0,0,0,0
1,-0.21391,0.967025,-0.0147176,0.0110078,0.012302,0.00795733,0,0,0,0
1,-0.21391,0.954723,-0.00676022,0.0110078,0.012302,0.00795733,0,0,0,0
1,-0.202902,0.967025,-0.0147176,0.0110078,0.012302,0.00795733,0,0,0,0
1,-0.202902,0.954723,-0.00676022,0.0110078,0.012302,0.00795733,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-0.21391,0.967025,-0.00676022,0.0110078,0.012302,0.00795733,0,0,0,0
1,-0.202902,0.967025,-0.00676022,0.0110078,0.012302,0.00795733,0,0,0,0
1,-0.202902,0.954723,-0.00676022,0.00550389,0.006151,0.00397867,0,0,0,0
1,-0.197399,0.954723,-0.00676022,0.00550389,0.006151,0.00397867,0,0,0,0
1,-0.202902,0.960874,-0.00676022,0.00550389,0.006151,0.00397867,0,0,0,0
1,-0.202902,0.954723,-0.00278156,0.00550389,0.006151,0.00397867,0,0,0,0
1,-0.197399,0.960874,-0.00676022,0.00550389,0.006151,0.00397867,0,0,0,0
1,-0.197399,0.954723,-0.00278156,0.00550389,0.006151,0.00397867,0,0,0,0
1,-0.202902,0.960874,-0.00278156,0.00550389,0.006151,0.00397867,0,0,0,0
1,-0.197399,0.960874,-0.00278156,0.00550389,0.006151,0.00397867,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-0.197399,0.960874,-0.00278156,0.00275195,0.0030755,0.00198933,0,0,0,0
1,-0.194647,0.960874,-0.00278156,0.00275195,0.0030755,0.00198933,0,0,0,0
