name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (kg),radius (m)
Uranus,2460680.5,11.09053034394035,16.10269279387048,-0.08399815138777435,-1.1964194268674395,0.7491053886827876,0.018270300227741888,8.681e+25,25360000.0
Uranus,2460681.5,11.08725451764296,16.10474341681327,-0.08394803837879047,-1.1965553768437054,0.7488692748265946,0.01832516914746235,8.681e+25,25360000.0
Uranus,2460682.5,11.08397834805329,16.10679337201098,-0.08389788266031921,-1.1966964509929203,0.7486251571129459,0.01831336236811273,8.681e+25,25360000.0
Uranus,2460683.5,11.08070176022828,16.10884266941141,-0.08384773009602085,-1.1968433701073533,0.748385289323678,0.018324724634403593,8.681e+25,25360000.0
Uranus,2460684.5,11.07742481183216,16.11089129463462,-0.08379759326878869,-1.1969786626741319,0.748136174424334,0.018288597278792357,8.681e+25,25360000.0
Uranus,2460685.5,11.07414739298613,16.11293926047607,-0.0837475513672887,-1.1971722284243576,0.7479042162269696,0.018282985886370357,8.681e+25,25360000.0
Neptune,2460676.5,29.87992735576156,-0.6341879950443392,-0.6754997950415415,0.014396676650921451,1.1543323655849558,-0.024241629980791553,1.024e+26,24620000.0
Neptune,2460677.5,29.87996636921843,-0.6310277003011913,-0.6755660512763051,0.014109091870305667,1.154290587087272,-0.024138164698667777,1.024e+26,24620000.0
Neptune,2460678.5,29.88000472102815,-0.627867291156623,-0.6756319209701365,0.01393583052017838,1.1544070359757883,-0.023986002226237518,1.024e+26,24620000.0
Neptune,2460679.5,29.88004283735542,-0.6247064753682643,-0.6756974917482175,0.01392932033180773,1.1545587478732668,-0.023940057883189196,1.024e+26,24620000.0
Neptune,2460680.5,29.88008104112595,-0.6215453885165221,-0.6757631536840916,0.013969238590533563,1.154586135700665,-0.02404511599079232,1.024e+26,24620000.0
Neptune,2460681.5,29.88011921663445,-0.6183844535500315,-0.6758291943330922,0.013887240066121864,1.1544590191294806,-0.024189121227183318,1.024e+26,24620000.0
Neptune,2460682.5,29.88015692982237,-0.6152239414631234,-0.6758955001065483,0.013641415231010043,1.1543074546856098,-0.02421956555689879,1.024e+26,24620000.0
Neptune,2460683.5,29.8801938787943,-0.6120636901546457,-0.6759616741900831,0.013360261482907674,1.1542865838664038,-0.024102078052381667,1.024e+26,24620000.0
Neptune,2460684.5,29.88023020750534,-0.6089032726210899,-0.6760274485768054,0.013209026810107126,1.1544159657097537,-0.02395585606240485,1.024e+26,24620000.0
Neptune,2460685.5,29.88026635614406,-0.6057424403674013,-0.6760929622392778,0.013217773023207816,1.1545589452815346,-0.023929865228078714,1.024e+26,24620000.0
Pluto,2460676.5,18.22881632666475,-30.0080129390195,-2.059815785829023,1.0077166616289408,0.3454265986522567,-0.3243717823322968,1.309e+22,1188000.0
Pluto,2460677.5,18.23158007489834,-30.00706404098443,-2.060707356480094,1.0109892200553923,0.3471790110839419,-0.3274556654514806,1.309e+22,1188000.0
Pluto,2460678.5,18.23434980616621,-30.00611525608745,-2.061610055593029,1.0117216358159873,0.3453626861772696,-0.3318336307593967,1.309e+22,1188000.0
Pluto,2460679.5,18.23711691150199,-30.00517471505518,-2.062521912060765,1.009220791895856,0.3416618862135058,-0.3335964801194561,1.309e+22,1188000.0
Pluto,2460680.5,18.23987501284237,-30.00424302403738,-2.063432778115028,1.005675292119615,0.3394387939004353,-0.3311684281994086,1.309e+22,1188000.0
Pluto,2460681.5,18.24262564662025,-30.0033127265004,-2.064333375329516,1.0042053911751214,0.340739285930154,-0.326708714646614,1.309e+22,1188000.0
Pluto,2460682.5,18.24537689875711,-30.00237494765176,-2.065223569528463,1.0060826860323466,0.3444674510977867,-0.3241916180220198,1.309e+22,1188000.0
Pluto,2460683.5,18.24813619313049,-30.00142731532519,-2.066112499623336,1.0095906361996945,0.34735823422304646,-0.3258601784229476,1.309e+22,1188000.0
Pluto,2460684.5,18.25090366126141,-30.0004760814372,-2.067010420066701,1.0115564967904678,0.34689449848940357,-0.33021933416775623,1.309e+22,1188000.0
Pluto,2460685.5,18.25367202855313,-29.99953053711024,-2.067919546871135,1.0101864283816542,0.34355441352279786,-0.3333749005144804,1.309e+22,1188000.0
